maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup,relatedControversy,peerEsgScorePerformance,peerGovernancePerformance,peerSocialPerformance,peerEnvironmentPerformance,peerHighestControversyPerformance,percentile,environmentPercentile,socialPercentile,governancePercentile,adult,alcoholic,animalTesting,catholic,controversialWeapons,smallArms,furLeather,gambling,gmo,militaryContract,nuclear,pesticides,palmOil,coal,tobacco,Ticker
86400,43.27,19.95,16.82,6.51,2025,7,5.0,64,LEAD_PERF,Industrial Conglomerates,['Operations Incidents'],"{'min': 23.16, 'avg': 38.84062500000001, 'max': 56.3}","{'min': 3.44, 'avg': 7.774186046511627, 'max': 13.78}","{'min': 6.83, 'avg': 13.429534883720931, 'max': 20.95}","{'min': 8.97, 'avg': 15.48441860465117, 'max': 21.12}","{'min': 0.0, 'avg': 1.078125, 'max': 5.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,MMM
86400,28.23,10.35,12.15,5.72,2025,7,1.0,279,AVG_PERF,Machinery,['Business Ethics Incidents'],"{'min': 13.15, 'avg': 28.779677419354833, 'max': 45.24}","{'min': 1.62, 'avg': 5.742968749999998, 'max': 11.05}","{'min': 5.47, 'avg': 10.7375, 'max': 18.31}","{'min': 2.03, 'avg': 10.000937500000001, 'max': 15.89}","{'min': 0.0, 'avg': 0.6559139784946236, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AOS
86400,20.35,2.25,13.0,5.1,2025,7,3.0,309,AVG_PERF,Healthcare,['Customer Incidents'],"{'min': 8.44, 'avg': 23.813818770226533, 'max': 37.12}","{'min': 3.18, 'avg': 5.950940170940173, 'max': 10.02}","{'min': 2.57, 'avg': 12.068632478632482, 'max': 22.54}","{'min': 0.04, 'avg': 2.586923076923076, 'max': 6.12}","{'min': 0.0, 'avg': 0.7928802588996764, 'max': 4.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,ABT
86400,24.2,2.35,15.03,6.82,2025,7,2.0,505,AVG_PERF,Pharmaceuticals,['Customer Incidents;Society & Community Incidents'],"{'min': 8.52, 'avg': 29.375306930693093, 'max': 43.03}","{'min': 1.9, 'avg': 6.09472972972973, 'max': 10.47}","{'min': 3.32, 'avg': 13.475810810810813, 'max': 27.87}","{'min': 0.33, 'avg': 2.778108108108109, 'max': 7.17}","{'min': 0.0, 'avg': 0.5287128712871287, 'max': 5.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,ABBV
86400,11.09,0.14,6.94,4.01,2025,7,1.0,586,LAG_PERF,Software & Services,['Business Ethics Incidents;Employee Incidents;Customer Incidents'],"{'min': 7.44, 'avg': 21.189334470989767, 'max': 33.72}","{'min': 1.34, 'avg': 5.549801587301587, 'max': 10.54}","{'min': 4.49, 'avg': 10.007142857142858, 'max': 21.64}","{'min': 0.05, 'avg': 3.2042460317460315, 'max': 6.94}","{'min': 0.0, 'avg': 0.6689419795221843, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,ACN
86400,14.16,2.78,6.75,4.63,2025,7,2.0,586,LAG_PERF,Software & Services,['Customer Incidents'],"{'min': 7.44, 'avg': 21.189334470989767, 'max': 33.72}","{'min': 1.34, 'avg': 5.549801587301587, 'max': 10.54}","{'min': 4.49, 'avg': 10.007142857142858, 'max': 21.64}","{'min': 0.05, 'avg': 3.2042460317460315, 'max': 6.94}","{'min': 0.0, 'avg': 0.6689419795221843, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,ADBE
86400,12.51,3.01,4.22,5.28,2025,7,1.0,122,LAG_PERF,Semiconductors,['Business Ethics Incidents;Customer Incidents'],"{'min': 8.3, 'avg': 23.446475409836065, 'max': 41.21}","{'min': 2.14, 'avg': 5.259245283018869, 'max': 9.29}","{'min': 2.18, 'avg': 5.646226415094341, 'max': 10.28}","{'min': 2.6, 'avg': 7.713962264150944, 'max': 16.83}","{'min': 0.0, 'avg': 0.5655737704918032, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AMD
86400,24.25,11.95,9.05,3.25,2025,7,2.0,234,AVG_PERF,Utilities,['Operations Incidents;Customer Incidents'],"{'min': 7.11, 'avg': 29.324999999999996, 'max': 69.63}","{'min': 1.49, 'avg': 5.011788079470196, 'max': 9.96}","{'min': 2.62, 'avg': 10.766357615894037, 'max': 34.99}","{'min': 0.14, 'avg': 10.701589403973506, 'max': 30.62}","{'min': 0.0, 'avg': 1.0811965811965811, 'max': 5.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AES
86400,18.58,1.29,8.32,8.97,2025,7,1.0,184,LAG_PERF,Insurance,['Customer Incidents'],"{'min': 10.08, 'avg': 23.333369565217392, 'max': 40.12}","{'min': 2.76, 'avg': 9.231999999999996, 'max': 15.09}","{'min': 5.16, 'avg': 9.889250000000006, 'max': 14.17}","{'min': 0.0, 'avg': 1.304416666666667, 'max': 2.94}","{'min': 0.0, 'avg': 0.8695652173913043, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AFL
86400,10.09,1.14,5.01,3.94,2025,7,1.0,505,LAG_PERF,Pharmaceuticals,['Operations Incidents'],"{'min': 8.52, 'avg': 29.375306930693093, 'max': 43.03}","{'min': 1.9, 'avg': 6.09472972972973, 'max': 10.47}","{'min': 3.32, 'avg': 13.475810810810813, 'max': 27.87}","{'min': 0.33, 'avg': 2.778108108108109, 'max': 7.17}","{'min': 0.0, 'avg': 0.5287128712871287, 'max': 5.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,A
86400,14.83,8.45,3.44,2.94,2025,7,1.0,183,LAG_PERF,Chemicals,['Customer Incidents;Governance Incidents;Employee Incidents;Society & Community Incidents'],"{'min': 11.77, 'avg': 28.77852459016393, 'max': 50.97}","{'min': 1.26, 'avg': 5.055698924731183, 'max': 8.36}","{'min': 0.89, 'avg': 6.150967741935487, 'max': 14.31}","{'min': 5.42, 'avg': 14.263978494623657, 'max': 22.07}","{'min': 0.0, 'avg': 0.8907103825136612, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,APD
86400,17.24,0.88,9.69,6.68,2025,7,2.0,586,LAG_PERF,Software & Services,['Business Ethics Incidents;Customer Incidents'],"{'min': 7.44, 'avg': 21.189334470989767, 'max': 33.72}","{'min': 1.34, 'avg': 5.549801587301587, 'max': 10.54}","{'min': 4.49, 'avg': 10.007142857142858, 'max': 21.64}","{'min': 0.05, 'avg': 3.2042460317460315, 'max': 6.94}","{'min': 0.0, 'avg': 0.6689419795221843, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,ABNB
86400,15.81,3.67,8.4,3.75,2025,7,1.0,586,LAG_PERF,Software & Services,['Business Ethics Incidents;Employee Incidents'],"{'min': 7.44, 'avg': 21.189334470989767, 'max': 33.72}","{'min': 1.34, 'avg': 5.549801587301587, 'max': 10.54}","{'min': 4.49, 'avg': 10.007142857142858, 'max': 21.64}","{'min': 0.05, 'avg': 3.2042460317460315, 'max': 6.94}","{'min': 0.0, 'avg': 0.6689419795221843, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AKAM
86400,20.11,11.83,3.79,4.49,2025,7,2.0,183,AVG_PERF,Chemicals,['Business Ethics Incidents;Operations Incidents'],"{'min': 11.77, 'avg': 28.77852459016393, 'max': 50.97}","{'min': 1.26, 'avg': 5.055698924731183, 'max': 8.36}","{'min': 0.89, 'avg': 6.150967741935487, 'max': 14.31}","{'min': 5.42, 'avg': 14.263978494623657, 'max': 22.07}","{'min': 0.0, 'avg': 0.8907103825136612, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,ALB
86400,16.04,3.97,4.64,7.43,2025,7,1.0,506,LAG_PERF,Real Estate,['Business Ethics Incidents'],"{'min': 4.1, 'avg': 16.27480237154153, 'max': 32.6}","{'min': 1.19, 'avg': 5.475733333333338, 'max': 16.07}","{'min': 0.28, 'avg': 3.8283555555555546, 'max': 10.05}","{'min': 0.73, 'avg': 3.9249777777777766, 'max': 8.95}","{'min': 0.0, 'avg': 0.25296442687747034, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,ARE
